iter	Passed	Remaining
0	142	142294
1	143	71760
2	145	48224
3	146	36557
4	148	29492
5	149	24794
6	151	21421
7	152	18886
8	153	16928
9	155	15404
10	157	14135
11	158	13052
12	160	12161
13	162	11446
14	164	10795
15	165	10195
16	167	9663
17	169	9250
18	170	8823
19	172	8450
20	174	8112
21	176	7848
22	178	7582
23	180	7330
24	182	7106
25	183	6889
26	185	6683
27	187	6496
28	188	6319
29	191	6196
30	193	6043
31	195	5909
32	197	5789
33	199	5663
34	201	5541
35	202	5422
36	204	5321
37	208	5265
38	210	5178
39	211	5083
40	213	4996
41	215	4905
42	216	4820
43	218	4748
44	222	4717
45	224	4661
46	226	4591
47	228	4523
48	229	4457
49	231	4393
50	233	4336
51	236	4311
52	239	4274
53	240	4221
54	242	4167
55	244	4117
56	245	4064
57	247	4013
58	248	3971
59	251	3945
60	254	3920
61	256	3882
62	258	3842
63	259	3801
64	261	3760
65	263	3724
66	267	3726
67	270	3706
68	272	3673
69	273	3640
70	275	3606
71	277	3575
72	280	3564
73	283	3549
74	285	3522
75	287	3494
76	289	3465
77	290	3436
78	292	3407
79	297	3416
80	299	3402
81	301	3379
82	302	3345
83	304	3322
84	306	3302
85	310	3303
86	313	3289
87	315	3271
88	317	3252
89	319	3229
90	321	3209
91	323	3196
92	326	3188
93	329	3177
94	331	3158
95	333	3139
96	335	3119
97	336	3100
98	340	3101
99	343	3092
100	346	3079
101	347	3062
102	349	3046
103	351	3028
104	354	3020
105	358	3023
106	360	3012
107	362	2996
108	365	2986
109	367	2972
110	370	2970
111	373	2960
112	375	2948
113	377	2935
114	379	2921
115	381	2906
116	385	2907
117	388	2904
118	390	2893
119	392	2879
120	394	2866
121	396	2850
122	400	2852
123	402	2846
124	405	2838
125	407	2827
126	409	2814
127	411	2802
128	415	2806
129	418	2801
130	420	2792
131	423	2783
132	425	2772
133	430	2780
134	433	2775
135	435	2768
136	437	2758
137	439	2747
138	442	2738
139	445	2736
140	447	2729
141	449	2718
142	452	2710
143	454	2701
144	457	2699
145	462	2704
146	465	2699
147	467	2689
148	469	2680
149	471	2671
150	474	2668
151	477	2663
152	479	2657
153	482	2648
154	484	2640
155	489	2647
156	491	2641
157	494	2635
158	497	2630
159	499	2621
160	500	2610
161	504	2609
162	507	2606
163	509	2599
164	512	2591
165	514	2584
166	517	2582
167	521	2582
168	524	2578
169	526	2571
170	528	2564
171	532	2563
172	535	2558
173	538	2557
174	540	2549
175	542	2541
176	546	2540
177	549	2538
178	552	2536
179	555	2529
180	557	2521
181	561	2522
182	565	2522
183	567	2516
184	570	2513
185	572	2506
186	578	2513
187	581	2509
188	583	2503
189	585	2495
190	587	2489
191	591	2490
192	595	2488
193	597	2482
194	599	2475
195	601	2468
196	604	2462
197	607	2462
198	610	2459
199	614	2457
200	617	2456
201	622	2459
202	625	2457
203	629	2455
204	631	2449
205	633	2442
206	637	2442
207	640	2437
208	642	2431
209	644	2426
210	652	2440
211	655	2438
212	658	2434
213	661	2428
214	664	2427
215	669	2429
216	671	2424
217	673	2416
218	675	2409
219	677	2403
220	682	2405
221	685	2402
222	688	2398
223	690	2392
224	693	2388
225	696	2386
226	699	2382
227	701	2376
228	704	2371
229	706	2365
230	711	2368
231	714	2366
232	717	2361
233	719	2355
234	722	2352
235	727	2353
236	729	2348
237	731	2342
238	733	2336
239	736	2332
240	741	2336
241	744	2332
242	747	2328
243	749	2322
244	756	2331
245	759	2328
246	762	2324
247	765	2319
248	769	2320
249	772	2317
250	775	2313
251	777	2308
252	780	2304
253	786	2310
254	790	2309
255	793	2306
256	796	2302
257	801	2304
258	804	2301
259	807	2298
260	810	2294
261	816	2300
262	820	2298
263	822	2293
264	825	2290
265	829	2289
266	833	2288
267	836	2284
268	838	2279
269	841	2275
270	845	2275
271	848	2271
272	851	2267
273	854	2264
274	859	2266
275	863	2264
276	866	2261
277	868	2256
278	871	2252
279	876	2254
280	881	2254
281	883	2249
282	886	2246
283	891	2247
284	894	2244
285	897	2240
286	901	2238
287	905	2238
288	908	2235
289	911	2231
290	913	2226
291	916	2222
292	923	2227
293	927	2226
294	929	2221
295	932	2217
296	935	2214
297	939	2212
298	943	2212
299	946	2207
300	950	2207
301	953	2204
302	956	2200
303	958	2195
304	963	2194
305	967	2193
306	970	2190
307	973	2186
308	975	2181
309	980	2183
310	983	2179
311	986	2175
312	988	2169
313	991	2165
314	995	2164
315	998	2161
316	1001	2156
317	1004	2153
318	1011	2158
319	1014	2154
320	1016	2150
321	1019	2146
322	1023	2144
323	1027	2142
324	1029	2138
325	1032	2134
326	1035	2130
327	1039	2129
328	1043	2129
329	1048	2127
330	1051	2125
331	1060	2133
332	1065	2133
333	1079	2152
334	1108	2200
335	1124	2221
336	1129	2222
337	1135	2224
338	1139	2222
339	1143	2219
340	1150	2222
341	1154	2221
342	1159	2220
343	1167	2225
344	1172	2225
345	1175	2222
346	1181	2223
347	1185	2221
348	1190	2221
349	1196	2221
350	1201	2220
351	1214	2234
352	1229	2253
353	1234	2252
354	1240	2254
355	1244	2251
356	1248	2248
357	1251	2244
358	1257	2244
359	1261	2242
360	1264	2238
361	1267	2233
362	1271	2230
363	1276	2229
364	1279	2225
365	1282	2220
366	1291	2227
367	1295	2224
368	1298	2220
369	1310	2230
370	1313	2226
371	1316	2222
372	1320	2219
373	1324	2217
374	1327	2212
375	1331	2208
376	1337	2210
377	1342	2209
378	1349	2210
379	1353	2209
380	1357	2205
381	1362	2204
382	1368	2203
383	1370	2199
384	1374	2196
385	1379	2193
386	1382	2190
387	1385	2185
388	1389	2182
389	1395	2183
390	1399	2180
391	1403	2176
392	1410	2178
393	1413	2174
394	1418	2172
395	1421	2168
396	1426	2166
397	1430	2163
398	1434	2160
399	1441	2161
400	1445	2159
401	1448	2155
402	1451	2149
403	1455	2147
404	1460	2145
405	1463	2140
406	1466	2136
407	1470	2134
408	1475	2131
409	1478	2127
410	1481	2123
411	1488	2123
412	1491	2119
413	1494	2115
414	1497	2111
415	1501	2108
416	1506	2105
417	1509	2101
418	1513	2098
419	1518	2097
420	1523	2095
421	1527	2092
422	1531	2088
423	1535	2086
424	1538	2081
425	1541	2077
426	1545	2073
427	1549	2070
428	1551	2065
429	1554	2060
430	1558	2058
431	1563	2055
432	1566	2051
433	1569	2046
434	1572	2042
435	1576	2039
436	1580	2035
437	1582	2030
438	1585	2025
439	1588	2021
440	1592	2018
441	1595	2014
442	1598	2009
443	1601	2005
444	1606	2003
445	1609	1999
446	1611	1994
447	1614	1989
448	1618	1986
449	1623	1984
450	1626	1979
451	1628	1974
452	1632	1971
453	1636	1967
454	1639	1963
455	1642	1959
456	1644	1954
457	1648	1951
458	1653	1948
459	1655	1943
460	1658	1939
461	1663	1937
462	1667	1933
463	1670	1930
464	1673	1925
465	1677	1922
466	1680	1917
467	1683	1914
468	1686	1909
469	1690	1905
470	1693	1901
471	1697	1898
472	1700	1894
473	1703	1890
474	1708	1888
475	1712	1884
476	1715	1880
477	1717	1876
478	1721	1872
479	1726	1869
480	1729	1865
481	1732	1861
482	1735	1857
483	1739	1854
484	1742	1850
485	1745	1846
486	1748	1841
487	1752	1838
488	1755	1834
489	1758	1830
490	1761	1825
491	1765	1822
492	1769	1819
493	1772	1815
494	1775	1811
495	1777	1806
496	1781	1803
497	1785	1799
498	1788	1795
499	1790	1790
500	1793	1785
501	1796	1782
502	1799	1778
503	1803	1774
504	1806	1770
505	1808	1766
506	1812	1762
507	1815	1758
508	1818	1754
509	1821	1749
510	1825	1746
511	1830	1744
512	1833	1740
513	1835	1735
514	1838	1731
515	1842	1728
516	1845	1723
517	1847	1719
518	1850	1714
519	1853	1710
520	1856	1706
521	1859	1702
522	1861	1697
523	1863	1693
524	1866	1688
525	1869	1684
526	1872	1680
527	1874	1676
528	1877	1671
529	1880	1667
530	1882	1662
531	1888	1661
532	1890	1656
533	1893	1652
534	1896	1648
535	1901	1645
536	1904	1642
537	1907	1637
538	1909	1633
539	1912	1629
540	1917	1626
541	1920	1623
542	1923	1618
543	1925	1614
544	1928	1610
545	1931	1606
546	1935	1602
547	1937	1598
548	1940	1594
549	1943	1590
550	1947	1586
551	1950	1583
552	1953	1579
553	1955	1574
554	1958	1570
555	1961	1566
556	1964	1562
557	1967	1558
558	1970	1554
559	1975	1552
560	1978	1548
561	1981	1544
562	1983	1539
563	1986	1535
564	1989	1531
565	1996	1531
566	1999	1526
567	2002	1522
568	2005	1519
569	2008	1515
570	2011	1511
571	2014	1507
572	2017	1503
573	2021	1500
574	2024	1496
575	2027	1492
576	2029	1488
577	2032	1484
578	2036	1481
579	2041	1478
580	2045	1474
581	2047	1470
582	2051	1467
583	2055	1463
584	2057	1459
585	2059	1455
586	2062	1451
587	2066	1447
588	2070	1444
589	2072	1440
590	2075	1436
591	2079	1432
592	2082	1429
593	2085	1425
594	2087	1420
595	2090	1416
596	2094	1414
597	2098	1410
598	2101	1406
599	2104	1402
600	2107	1399
601	2111	1395
602	2114	1391
603	2117	1387
604	2119	1383
605	2123	1380
606	2126	1377
607	2129	1372
608	2131	1368
609	2134	1364
610	2138	1361
611	2141	1357
612	2144	1353
613	2146	1349
614	2149	1345
615	2153	1342
616	2156	1338
617	2159	1334
618	2161	1330
619	2164	1326
620	2169	1324
621	2173	1320
622	2175	1316
623	2178	1312
624	2182	1309
625	2187	1306
626	2190	1302
627	2192	1298
628	2195	1295
629	2200	1292
630	2203	1288
631	2205	1284
632	2208	1280
633	2211	1276
634	2217	1274
635	2219	1270
636	2222	1266
637	2224	1262
638	2228	1259
639	2231	1255
640	2234	1251
641	2237	1247
642	2240	1244
643	2244	1240
644	2248	1237
645	2251	1233
646	2253	1229
647	2257	1226
648	2261	1222
649	2264	1219
650	2266	1215
651	2269	1211
652	2272	1207
653	2277	1205
654	2280	1201
655	2283	1197
656	2286	1193
657	2289	1190
658	2293	1186
659	2296	1182
660	2298	1179
661	2302	1175
662	2306	1172
663	2310	1168
664	2312	1165
665	2315	1161
666	2319	1157
667	2322	1154
668	2324	1150
669	2327	1146
670	2329	1142
671	2334	1139
672	2339	1136
673	2341	1132
674	2344	1128
675	2347	1125
676	2351	1121
677	2354	1118
678	2357	1114
679	2360	1110
680	2363	1107
681	2366	1103
682	2370	1100
683	2372	1096
684	2376	1092
685	2379	1089
686	2383	1085
687	2385	1081
688	2388	1077
689	2391	1074
690	2394	1070
691	2397	1067
692	2400	1063
693	2402	1059
694	2405	1055
695	2409	1052
696	2412	1048
697	2414	1044
698	2417	1040
699	2420	1037
700	2424	1034
701	2426	1030
702	2429	1026
703	2431	1022
704	2434	1018
705	2438	1015
706	2440	1011
707	2443	1007
708	2445	1003
709	2448	1000
710	2450	996
711	2454	992
712	2456	988
713	2459	985
714	2462	981
715	2464	977
716	2467	973
717	2470	970
718	2472	966
719	2476	962
720	2478	959
721	2481	955
722	2484	951
723	2487	948
724	2489	944
725	2492	940
726	2495	936
727	2498	933
728	2500	929
729	2503	925
730	2505	922
731	2508	918
732	2511	914
733	2514	911
734	2517	907
735	2519	903
736	2522	900
737	2524	896
738	2532	894
739	2535	890
740	2537	886
741	2539	883
742	2543	879
743	2545	875
744	2548	872
745	2550	868
746	2553	864
747	2557	861
748	2559	857
749	2562	854
750	2565	850
751	2567	846
752	2570	843
753	2573	839
754	2577	836
755	2579	832
756	2582	829
757	2585	825
758	2589	822
759	2592	818
760	2595	815
761	2597	811
762	2601	808
763	2608	805
764	2610	802
765	2612	798
766	2615	794
767	2618	791
768	2623	787
769	2626	784
770	2629	781
771	2636	778
772	2640	775
773	2643	771
774	2649	769
775	2653	765
776	2656	762
777	2659	758
778	2664	755
779	2668	752
780	2671	749
781	2676	746
782	2681	743
783	2685	739
784	2688	736
785	2692	733
786	2696	729
787	2699	726
788	2703	723
789	2709	720
790	2714	717
791	2717	713
792	2721	710
793	2725	707
794	2729	703
795	2732	700
796	2736	697
797	2743	694
798	2747	691
799	2752	688
800	2757	684
801	2760	681
802	2763	678
803	2768	674
804	2772	671
805	2775	668
806	2780	664
807	2784	661
808	2788	658
809	2792	654
810	2796	651
811	2801	648
812	2805	645
813	2808	641
814	2812	638
815	2816	635
816	2820	631
817	2823	628
818	2828	625
819	2832	621
820	2834	618
821	2837	614
822	2841	611
823	2845	607
824	2848	604
825	2851	600
826	2855	597
827	2858	593
828	2861	590
829	2864	586
830	2867	583
831	2871	579
832	2875	576
833	2878	572
834	2882	569
835	2886	566
836	2889	562
837	2892	559
838	2895	555
839	2899	552
840	2904	549
841	2908	545
842	2911	542
843	2915	538
844	2918	535
845	2921	531
846	2923	528
847	2928	524
848	2932	521
849	2936	518
850	2939	514
851	2942	511
852	2945	507
853	2949	504
854	2952	500
855	2955	497
856	2960	493
857	2965	490
858	2968	487
859	2974	484
860	2978	480
861	2981	477
862	2985	473
863	2990	470
864	2995	467
865	2998	463
866	3001	460
867	3005	457
868	3009	453
869	3012	450
870	3016	446
871	3020	443
872	3023	439
873	3027	436
874	3030	432
875	3035	429
876	3039	426
877	3042	422
878	3045	419
879	3050	415
880	3054	412
881	3057	409
882	3061	405
883	3065	402
884	3069	398
885	3072	395
886	3076	391
887	3081	388
888	3085	385
889	3088	381
890	3092	378
891	3097	375
892	3101	371
893	3104	368
894	3107	364
895	3111	361
896	3114	357
897	3117	354
898	3120	350
899	3124	347
900	3128	343
901	3131	340
902	3133	336
903	3137	333
904	3142	329
905	3145	326
906	3148	322
907	3151	319
908	3156	316
909	3159	312
910	3162	308
911	3165	305
912	3169	301
913	3172	298
914	3175	294
915	3177	291
916	3180	287
917	3185	284
918	3188	281
919	3190	277
920	3194	273
921	3197	270
922	3201	267
923	3204	263
924	3207	260
925	3212	256
926	3215	253
927	3218	249
